itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
227853,Other (Activity), Specify,Other (Activity), Specify,chartevents,OT Notes,,Text
227194,Extubation,Extubation,procedureevents,1-Intubation/Extubation,None,Processes,,
224385,Intubation,Intubation,procedureevents,1-Intubation/Extubation,None,Processes,,
226237,Open Tracheostomy,Open Tracheostomy,procedureevents,1-Intubation/Extubation,None,Processes,,
225448,Percutaneous Tracheostomy,Percutaneous Tracheostomy,procedureevents,1-Intubation/Extubation,None,Processes,,
225477,Unplanned Extubation (non-patient initiated),Unplanned Extubation (non-patient initiated),procedureevents,1-Intubation/Extubation,None,Processes,,
225468,Unplanned Extubation (patient-initiated),Unplanned Extubation (patient-initiated),procedureevents,1-Intubation/Extubation,None,Processes,,
225792,Invasive Ventilation,Invasive Ventilation,procedureevents,2-Ventilation,None,Processes,,
225794,Non-invasive Ventilation,Non-invasive Ventilation,procedureevents,2-Ventilation,None,Processes,,
225819,Brain Death,Brain Death,procedureevents,3-Significant Events,None,Processes,,
225820,C-Spine Clearance,C-Spine Clearance,procedureevents,3-Significant Events,None,Processes,,
225466,Cardiac Arrest,Cardiac Arrest,procedureevents,3-Significant Events,None,Processes,,
225464,Cardioversion/Defibrillation,Cardioversion/Defibrillation,procedureevents,3-Significant Events,None,Processes,,
225467,Chest Opened,Chest Opened,procedureevents,3-Significant Events,None,Processes,,
225465,Chest Pain,Chest Pain,procedureevents,3-Significant Events,None,Processes,,
225474,Fall,Fall,procedureevents,3-Significant Events,None,Processes,,
225440,Fluoroscopy,Fluoroscopy,procedureevents,3-Significant Events,None,Processes,,
229620,Massive Transfusion,Massive Transfusion,procedureevents,3-Significant Events,None,Processes,,
225443,Nuclear Medicine,Nuclear Medicine,procedureevents,3-Significant Events,None,Processes,,
225478,Operation,Operation,procedureevents,3-Significant Events,None,Processes,,
225469,OR Received,OR Received,procedureevents,3-Significant Events,None,Processes,,
225470,OR Sent,OR Sent,procedureevents,3-Significant Events,None,Processes,,
225815,Peritoneal Fluid,Peritoneal Fluid,procedureevents,3-Significant Events,None,Processes,,
225472,Pneumothorax,Pneumothorax,procedureevents,3-Significant Events,None,Processes,,
225475,Respiratory Arrest,Respiratory Arrest,procedureevents,3-Significant Events,None,Processes,,
227715,TLS Clearance,TLS Clearance,procedureevents,3-Significant Events,None,Processes,,
229579,Transfer Intercampus by Ambulance,Transfer Intercampus by Ambulance,procedureevents,3-Significant Events,None,Processes,,
225406,Transferred to Floor,Transferred to Floor,procedureevents,3-Significant Events,None,Processes,,
229755,Trigger Initiated,Trigger Initiated,procedureevents,3-Significant Events,None,Processes,,
225476,Unplanned Line/Catheter Removal (Non-Patient initated),Unplanned Line/Catheter Removal (Non-Patient inita,procedureevents,3-Significant Events,None,Processes,,
225821,Unplanned Line/Catheter Removal (Patient Initiated),Unplanned Line/Catheter Removal (Patient Initiated,procedureevents,3-Significant Events,None,Processes,,
225456,Ventricular Drain,Ventricular Drain,procedureevents,3-Significant Events,None,Processes,,
225752,Arterial Line,Arterial Line,procedureevents,Access Lines - Invasive,None,Processes,,
224284,Arterial line Cap Change,Arterial line Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224285,Arterial line Change over Wire Date,Arterial line Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225737,Arterial Line Discontinued,Arterial Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
224287,Arterial Line Dressing Change,Arterial Line Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227292,Arterial Line Dressing Occlusive,Arterial Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
224288,Arterial line Insertion Date,Arterial line Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226107,Arterial Line placed in outside facility,Arterial Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
224289,Arterial line Site Appear,Arterial line Site Appear,chartevents,Access Lines - Invasive,,Text,,
225722,Arterial Line Tip Cultured,Arterial Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
224290,Arterial line Tubing Change,Arterial line Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224291,Arterial line Waveform Appear,Arterial line Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225210,Arterial Line Zero/Calibrate,Arterial Line Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
227719,AVA,AVA,procedureevents,Access Lines - Invasive,None,Processes,,
227720,AVA Cap Change,AVA Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227721,AVA Change over Wire Date,AVA Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
227722,AVA Dressing Change,AVA Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227723,AVA Dressing Occlusive,AVA Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
227724,AVA Insertion Date,AVA Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
227725,AVA Line Discontinued,AVA Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
227727,AVA Line placed in outside facility,AVA Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227732,AVA Line Placement Confirmed by X-ray,AVA Line Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
227728,AVA Line Site Appear,AVA Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
227726,AVA Line Tip Cultured,AVA Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
227731,AVA Line Zero/Calibrate,AVA Line Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
227729,AVA Tubing Change,AVA Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227730,AVA Waveform Appearance,AVA Waveform Appearance,chartevents,Access Lines - Invasive,,Text,,
229549,Avalon Dressing Change,Avalon Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229550,Avalon Insertion Date,Avalon Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
229552,Avalon Line Discontinued,Avalon Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
229553,Avalon Line Site Appear,Avalon Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
229554,Avalon Position,Avalon Position,chartevents,Access Lines - Invasive,,Text,,
229515,Avalon/Protek Duo,Avalon/Protek Duo,procedureevents,Access Lines - Invasive,None,Processes,,
229533,Camino,Camino,procedureevents,Access Lines - Invasive,None,Processes,,
229555,Cardiac Assist Cannula Change,Cardiac Assist Cannula Change,datetimeevents,Access Lines - Invasive,,Date and time,,
