GCS_Motor,44295,60465,0.26733703,
INR-Blood,41505,56035,0.06808680,
Bilirubin Indirect-Blood,4734,6041,0.01430266,mg/dL
Urine Color,43616,58630,0.16340771,
Creatinine-serum,44203,60298,0.07002992,mg/dL
Albumin-Blood,24820,32447,0.03752645,g/dL
Phosphate-Blood,42875,58740,0.09675744,mg/dL
Basophils-Pleural,83,111,0.00546059,%
Amylase-Pleural,492,610,0.00509912,IU/L
Neutrophil abs-Blood,26942,34911,0.04843694,%|K/uL
PH-arterial,26783,32172,0.07521742,units
Ventilator Rate-Blood,11057,13695,0.02112234,
Factor X-Blood,60,69,0.00430802,%
Hematocrit-Pleural,220,274,0.00524026,%
GCS-Verbal,44296,60467,0.26798757,
Calcium Total-Blood,42862,58729,0.09622472,mg/dL
Factor XIII-Blood,0,0,-1.00000000,
PTT,40712,54361,0.05033659,sec
Eosinophils-Blood,26943,34917,0.04830184,#/uL|%|K/uL
RR,44294,60461,1.14737990,insp/min
HA1c Percent-Blood,9030,10203,0.00962256,%
Cholesterol LDL-Blood,4945,5528,0.01430591,mg/dL|units
Glucose-serum,44128,60215,0.06927828,mg/dL
Factor XI-Blood,16,17,0.00822051,%
Cholesterol Ratio-Blood,4873,5445,0.00829517,Ratio
Base Excess-Blood,32872,43202,0.15610135,mEq/L
Uric Acid-Blood,2019,2525,0.04655679,mg/dL
Temp,44162,60294,0.29529809,°F|°C
Basophils-Blood,26942,34911,0.04829724,%|K/uL
Chloride-Blood,44250,60393,0.12415983,mg/dL|mEq/L
Sodium-Blood,44249,60392,0.13207379,mEq/L
Blasts-Blood,287,401,0.05985825,%
Thrombin-Blood,273,275,0.00484664,sec
Cholesterol Total-Blood,5172,5818,0.00810916,mg/dL
Lymphocyte abs-Pleural,1424,1874,0.00637139,%
WBC-Blood,44218,60350,0.15784006,K/uL
HCO3-serum,44198,60300,0.07002750,mEq/L
Glucose-Blood,44281,60442,0.28531213,mg/dL
ALT-Blood,29172,38985,0.06437421,IU/L
Hemoglobin-Blood,44220,60355,0.18132542,g/dL|g/dl
Factor V-Blood,62,75,0.00577777,%
